"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","cp","profundidade_maxima","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,3,12140303,"arvore_cp_0.02_profundidade_3",0.02,3,0.753086419753086,0.72972972972973,0.772727272727273,0.72972972972973,0.72972972972973,0.502457002457002,0.783169533169533,0.188389794686648,1.80216474093236,0.751228501228501,27,34,10,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,1,12140401,"arvore_cp_0.005_profundidade_5",0.005,5,0.790123456790123,0.675675675675676,0.886363636363636,0.833333333333333,0.746268656716418,0.579759906648298,0.768734643734644,0.179076652265652,0.56615465480222,0.781019656019656,25,39,5,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,2,12140402,"arvore_cp_0.005_profundidade_5",0.005,5,0.765432098765432,0.789473684210526,0.744186046511628,0.731707317073171,0.759493670886076,0.53268262938852,0.765299877600979,0.194751724056986,0.618863638885631,0.766829865361077,30,32,11,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,3,12140403,"arvore_cp_0.005_profundidade_5",0.005,5,0.777777777777778,0.675675675675676,0.863636363636364,0.806451612903226,0.735294117647059,0.552715274374096,0.785012285012285,0.181552370477429,1.78745767421151,0.76965601965602,25,38,6,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,1,12140501,"arvore_cp_0.01_profundidade_5",0.01,5,0.790123456790123,0.675675675675676,0.886363636363636,0.833333333333333,0.746268656716418,0.579759906648298,0.768734643734644,0.179076652265652,0.56615465480222,0.781019656019656,25,39,5,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,2,12140502,"arvore_cp_0.01_profundidade_5",0.01,5,0.765432098765432,0.789473684210526,0.744186046511628,0.731707317073171,0.759493670886076,0.53268262938852,0.765299877600979,0.194751724056986,0.618863638885631,0.766829865361077,30,32,11,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,3,12140503,"arvore_cp_0.01_profundidade_5",0.01,5,0.777777777777778,0.675675675675676,0.863636363636364,0.806451612903226,0.735294117647059,0.552715274374096,0.785012285012285,0.181552370477429,1.78745767421151,0.76965601965602,25,38,6,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,1,12140601,"arvore_cp_0.02_profundidade_5",0.02,5,0.753086419753086,0.567567567567568,0.909090909090909,0.84,0.67741935483871,0.514008739424715,0.712837837837838,0.194723725494533,0.598410512138821,0.738329238329238,21,40,4,16,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,2,12140602,"arvore_cp_0.02_profundidade_5",0.02,5,0.765432098765432,0.789473684210526,0.744186046511628,0.731707317073171,0.759493670886076,0.53268262938852,0.765299877600979,0.194751724056986,0.618863638885631,0.766829865361077,30,32,11,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,3,12140603,"arvore_cp_0.02_profundidade_5",0.02,5,0.777777777777778,0.675675675675676,0.863636363636364,0.806451612903226,0.735294117647059,0.552715274374096,0.785012285012285,0.181552370477429,1.78745767421151,0.76965601965602,25,38,6,12,0,0
